country,city,base_cost_of_living,one_bedroom_rent_centre,one_bedroom_rent_outside_centre,three_bedroom_rent_centre,three_bedroom_rent_outside_centre,price_per_squared_meter_centre,price_per_squared_meter_outside_centre,avg_net_salary,entries
DK,Copenhagen,1137.9,1642.76,1195.0,2804.74,2020.64,7408.11,5241.83,3667.77,2109
DK,Aarhus-Denmark,1084.5,1168.97,793.07,2050.15,1508.28,6192.34,3811.41,3256.06,536
DK,Aalborg,1096.4,823.57,610.97,1431.19,1068.37,4108.83,3356.77,2828.18,246
ES,Madrid,769.5,1247.21,901.63,2143.27,1531.91,4502.64,2566.25,2428.49,3440
ES,Barcelona,790.3,1243.97,944.12,2114.1,1557.19,5631.38,3802.9,2003.27,2139
ES,Valencia,674.6,966.08,716.3,1600.74,1050.37,2401.15,1527.48,1964.63,1488
ES,Sevilla,730.2,880.0,633.33,1387.5,908.33,3289.33,1914.29,1508.33,418
ES,Zaragoza-Saragossa,692.5,737.5,600.0,987.5,837.5,3612.5,2046.67,1742.86,219
ES,Malaga,683.6,928.89,759.17,1552.78,1206.25,2557.29,2083.33,1873.65,646
ES,Palma-De-Mallorca,805.2,1018.75,833.33,1635.71,1318.75,4120.0,2633.33,1464.29,434
ES,Bilbao,772.1,910.0,737.5,1440.0,1080.0,4000.0,3033.33,1942.15,327
FR,Paris,1101.7,1350.07,986.49,3119.44,2281.73,11792.86,8573.33,2885.43,2376
FR,Marseille,1014.9,771.25,567.5,1326.0,1247.5,5347.41,3168.0,2024.07,358
FR,Lyon,1013.0,909.08,568.67,1642.5,1105.56,5748.29,4013.6,2769.06,533
FR,Toulouse,961.4,666.67,533.33,1366.67,1025.0,4220.0,2950.0,2551.42,356
FR,Nice,987.5,925.0,754.17,1925.0,1725.0,6625.0,4375.0,2330.88,298
FR,Bordeaux,1019.2,786.67,596.36,1533.33,1040.0,5215.0,5166.67,2297.5,402
FR,Lille,885.4,735.0,619.0,1612.5,1050.0,7500.0,7000.0,2264.29,298
DE,Berlin,1013.6,1264.38,901.24,2390.3,1763.33,8013.56,5838.3,3142.15,4130
DE,Hamburg,1058.0,1026.54,738.39,1892.96,1400.38,7870.77,5226.0,2964.25,1677
DE,Munich,1009.7,1465.7,1152.48,2503.26,2031.58,10200.34,7513.79,3518.63,3081
DE,Cologne,916.1,931.25,760.0,1849.58,1239.09,4517.86,2818.75,2990.52,867
DE,Frankfurt,989.5,1182.23,825.0,2110.17,1440.19,7034.52,4254.12,3671.56,1848
DE,Stuttgart,966.1,988.53,731.43,1719.79,1300.0,6112.23,4029.67,3827.72,1098
DE,Dusseldorf,1000.4,898.75,778.93,1862.0,1433.85,6550.0,5208.33,3082.84,962
DE,Leipzig,930.0,745.56,489.0,1275.0,941.67,4600.0,2800.0,2306.81,829
